timestamp,open,high,low,close,volume
1632528000000,1.248,1.262,1.208,1.231,3.85
1632614400000,1.233,1.307,1.155,1.228,18.51
1632700800000,1.225,1.274,1.157,1.162,13.84
1632787200000,1.161,1.183,1.088,1.095,18.64
1632873600000,1.093,1.165,1.085,1.115,22.14
1632960000000,1.113,1.226,1.108,1.198,24.95
1633046400000,1.2,1.432,1.182,1.416,39.86
1633132800000,1.416,1.465,1.382,1.395,45.37
1633219200000,1.396,1.446,1.36,1.441,32.76
1633305600000,1.443,1.59,1.415,1.458,81.28
1633392000000,1.46,1.614,1.442,1.585,54.88
1633478400000,1.586,1.645,1.435,1.537,68.72
1633564800000,1.537,1.57,1.482,1.57,49.21
1633651200000,1.571,1.621,1.524,1.591,53.85
1633737600000,1.592,1.61,1.545,1.61,33.46
1633824000000,1.61,1.613,1.465,1.474,31.75
1633910400000,1.472,1.542,1.404,1.452,32.64
1633996800000,1.451,1.478,1.367,1.466,39.21
1634083200000,1.467,1.52,1.42,1.516,31.52
1634169600000,1.517,1.58,1.494,1.549,29.0288
1634256000000,1.55,1.561,1.45,1.542,43.1987
1634342400000,1.543,1.696,1.534,1.652,64.1784
1634428800000,1.652,1.652,1.482,1.568,54.1095
1634515200000,1.568,1.583,1.501,1.566,81.12
1634601600000,1.565,1.579,1.512,1.537,69.36
1634688000000,1.536,1.93,1.509,1.781,300.8825
1634774400000,1.781,1.795,1.669,1.729,311.9075
1634860800000,1.731,1.836,1.705,1.766,126.295
1634947200000,1.766,1.803,1.71,1.771,83.4225
1635033600000,1.77,1.826,1.662,1.703,108.45
1635120000000,1.704,1.858,1.694,1.839,122.505
1635206400000,1.839,2.129,1.819,1.98,459.2175
1635292800000,1.981,2.28,1.758,2.063,688.065
1635379200000,2.065,2.383,2.038,2.304,570.5925
1635465600000,2.304,2.591,2.298,2.445,551.0025
1635552000000,2.446,3.291,2.268,3.031,1010.895
1635638400000,3.032,3.482,2.406,2.565,1039.4175
1635724800000,2.565,2.762,2.361,2.586,527.8425
1635811200000,2.587,3.254,2.56,3.108,1047.8774
1635897600000,3.108,3.199,2.72,2.844,552.24
1635984000000,2.845,3.365,2.72,2.984,673.8375
1636070400000,2.984,3.253,2.846,2.946,578.505
1636156800000,2.945,3.539,2.927,3.508,932.7075
1636243200000,3.508,3.617,3.258,3.298,471.765
1636329600000,3.297,3.301,3.102,3.155,354.2325
1636416000000,3.154,3.26,2.935,2.96,387.2175
1636502400000,2.961,3.177,2.523,2.815,524.1525
1636588800000,2.815,3.061,2.767,2.953,347.9025
1636675200000,2.95,3.131,2.896,3.069,466.92
1636761600000,3.067,3.255,3.003,3.026,421.1325
1636848000000,3.027,3.07,2.927,3.069,196.4775
1636934400000,3.069,3.226,2.984,3.018,255.5925
1637020800000,3.017,3.017,2.533,2.83,513.9975
1637107200000,2.831,3.073,2.792,3.001,409.515
1637193600000,3.001,3.248,2.733,3.018,660.1125
1637280000000,3.02,3.747,2.967,3.599,1015.47
1637366400000,3.6,3.893,3.429,3.628,772.125
1637452800000,3.629,3.635,3.278,3.287,409.095
1637539200000,3.281,3.605,3.133,3.587,572.5725
1637625600000,3.59,4.138,3.454,3.833,917.52
1637712000000,3.834,4.728,3.732,4.473,1423.65
1637798400000,4.473,4.831,4.005,4.21,1106.9399
1637884800000,4.211,4.427,3.507,3.836,1017.03
1637971200000,3.835,3.952,3.583,3.692,553.5525
1638057600000,3.688,3.837,3.272,3.833,717.87
1638144000000,3.832,3.922,3.621,3.634,545.22
1638230400000,3.635,3.756,3.461,3.49,449.04
1638316800000,3.491,3.677,3.455,3.515,369.7725
1638403200000,3.515,3.515,3.268,3.388,381.075
1638489600000,3.386,3.427,2.906,3.082,457.2675
1638576000000,3.081,3.095,2.156,3.004,972.0525
1638662400000,3.003,3.131,2.611,2.713,668.175
1638748800000,2.715,2.909,2.355,2.872,648.18
1638835200000,2.873,2.993,2.726,2.785,428.025
1638921600000,2.786,2.912,2.61,2.885,321.3
1639008000000,2.888,2.906,2.533,2.552,398.2725
1639094400000,2.562,2.662,2.402,2.412,50.1
1639180800000,2.412,2.552,2.349,2.532,26.4075
1639267200000,2.518,2.722,2.512,2.682,31.53
1639353600000,2.68,2.742,2.242,2.312,52.485
1639440000000,2.322,2.362,2.22,2.342,32.6625
1639526400000,2.342,2.513,2.17,2.503,41.2275
1639612800000,2.503,2.552,2.348,2.362,34.9425
1639699200000,2.359,2.402,2.196,2.282,42.9075
1639785600000,2.281,2.432,2.239,2.396,34.05
1639872000000,2.396,2.472,2.32,2.322,22.605
1639958400000,2.318,2.433,2.15,2.292,28.2975
1640044800000,2.294,2.452,2.25,2.422,23.6475
1640131200000,2.432,2.712,2.414,2.572,36.6975
1640217600000,2.568,2.972,2.526,2.972,51.2025
1640304000000,2.972,2.983,2.746,2.785,36.87
1640390400000,2.782,3.262,2.762,3.122,67.185
1640476800000,3.108,3.322,2.984,3.182,55.1025
1640563200000,3.192,3.232,3.043,3.056,43.455
1640649600000,3.059,3.072,2.702,2.742,87.6
1640736000000,2.752,2.852,2.589,2.632,66.78
1640822400000,2.628,2.732,2.537,2.632,55.965
1640908800000,2.624,2.722,2.556,2.638,35.16
1640995200000,2.582,2.692,2.569,2.672,12.4575
1641081600000,2.663,2.912,2.649,2.842,52.2375
1641168000000,2.833,2.932,2.69,2.77,53.025
1641254400000,2.772,2.842,2.656,2.672,47.8875
1641340800000,2.668,2.772,2.233,2.432,96.3375
1641427200000,2.422,2.612,2.3,2.552,139.17
1641513600000,2.545,2.572,2.298,2.342,110.6025
1641600000000,2.335,2.422,2.157,2.242,79.7625
1641686400000,2.24,2.352,2.214,2.282,87.7725
1641772800000,2.292,2.332,2.067,2.151,101.2275
1641859200000,2.147,2.312,2.126,2.302,74.145
1641945600000,2.312,2.602,2.297,2.512,79.7925
1642032000000,2.504,2.582,2.348,2.372,86.46
1642118400000,2.372,2.442,2.297,2.39,65.4375
1642204800000,2.387,2.532,2.352,2.442,39.4875
1642291200000,2.432,2.532,2.422,2.492,30.7875
1642377600000,2.489,2.522,2.267,2.312,62.955
1642464000000,2.322,2.342,2.179,2.262,48.6975
1642550400000,2.251,2.342,2.186,2.199,64.965
1642636800000,2.2,2.342,2.075,2.093,42.57
1642723200000,2.092,2.102,1.662,1.722,115.8525
1642809600000,1.718,1.752,1.342,1.492,96.69
1642896000000,1.484,1.682,1.476,1.602,70.8165
1642982400000,1.589,1.602,1.308,1.492,89.568
1643068800000,1.483,1.532,1.41,1.522,51.453
1643155200000,1.513,1.732,1.486,1.542,84.33
1643241600000,1.53,1.642,1.437,1.572,73.494
1643328000000,1.559,1.682,1.54,1.62,51.84
1643414400000,1.619,1.744,1.619,1.742,31.419
1643500800000,1.743,1.862,1.717,1.77,26.019
1643587200000,1.768,1.902,1.668,1.872,70.632
1643673600000,1.862,1.892,1.8,1.822,42.984
1643760000000,1.82,1.852,1.646,1.682,38.763
1643846400000,1.672,1.702,1.598,1.673,51.687
1643932800000,1.676,1.822,1.648,1.812,38.493
1644019200000,1.812,1.982,1.787,1.902,39.996
1644105600000,1.896,2.062,1.887,2.052,74.241
1644192000000,2.042,2.162,2.005,2.072,64.26
1644278400000,2.082,2.152,1.898,2.102,68.157
1644364800000,2.098,2.182,1.99,2.152,65.43
1644451200000,2.152,2.152,1.955,1.972,73.17
1644537600000,1.964,2.042,1.78,1.822,74.475
1644624000000,1.811,1.862,1.738,1.802,49.842
1644710400000,1.792,1.822,1.686,1.722,29.025
1644796800000,1.715,1.772,1.659,1.742,46.197
1644883200000,1.738,1.972,1.728,1.962,44.226
1644969600000,1.958,2.002,1.868,1.942,52.182
1645056000000,1.94,1.982,1.693,1.723,66.528
1645142400000,1.722,1.782,1.633,1.662,49.077
1645228800000,1.658,1.692,1.589,1.652,27.594
1645315200000,1.643,1.652,1.469,1.522,44.658
1645401600000,1.509,1.622,1.361,1.372,66.762
1645488000000,1.371,1.457,1.32,1.454,84.555
1645574400000,1.453,1.521,1.361,1.368,217.179
1645660800000,1.37,1.412,1.147,1.342,463.797
1645747200000,1.343,1.448,1.301,1.434,214.947
1645833600000,1.434,1.502,1.409,1.426,125.262
1645920000000,1.426,1.476,1.333,1.358,153.378
1646006400000,1.359,1.575,1.319,1.548,193.23
1646092800000,1.549,1.627,1.491,1.583,204.462
1646179200000,1.583,1.602,1.502,1.53,202.32
1646265600000,1.531,1.544,1.433,1.463,160.83
1646352000000,1.463,1.469,1.32,1.344,174.591
1646438400000,1.343,1.423,1.305,1.402,102.096
1646524800000,1.401,1.458,1.318,1.325,137.187
1646611200000,1.324,1.383,1.261,1.29,277.497
1646697600000,1.289,1.361,1.279,1.323,233.109
1646784000000,1.322,1.43,1.318,1.377,192.87
1646870400000,1.378,1.385,1.283,1.314,203.094
1646956800000,1.314,1.344,1.27,1.29,152.352
1647043200000,1.289,1.335,1.287,1.301,68.418
1647129600000,1.301,1.368,1.266,1.28,143.28
1647216000000,1.279,1.321,1.265,1.31,183.519
1647302400000,1.31,1.326,1.263,1.306,125.73
1647388800000,1.307,1.411,1.285,1.406,224.379
1647475200000,1.407,1.426,1.371,1.388,180.945
1647561600000,1.389,1.444,1.349,1.432,138.96
1647648000000,1.433,1.535,1.422,1.489,160.551
1647734400000,1.489,1.493,1.398,1.424,123.84
1647820800000,1.424,1.462,1.384,1.416,142.308
1647907200000,1.417,1.477,1.406,1.439,142.38
1647993600000,1.438,1.549,1.408,1.514,168.318
1648080000000,1.515,1.687,1.515,1.67,286.362
1648166400000,1.671,1.673,1.554,1.599,180.63
1648252800000,1.598,1.644,1.57,1.642,72.441
1648339200000,1.641,1.782,1.629,1.776,197.442
1648425600000,1.775,1.832,1.666,1.695,229.5
1648512000000,1.695,1.807,1.682,1.735,209.421
1648598400000,1.734,1.822,1.651,1.781,217.746
1648684800000,1.781,1.955,1.725,1.78,432.9
1648771200000,1.78,1.888,1.717,1.845,299.619
1648857600000,1.844,1.912,1.803,1.84,236.034
1648944000000,1.84,1.898,1.783,1.862,165.186
1649030400000,1.861,1.861,1.677,1.76,200.214
1649116800000,1.76,1.796,1.679,1.681,152.523
1649203200000,1.682,1.683,1.499,1.504,282.942
1649289600000,1.503,1.719,1.461,1.655,325.062
1649376000000,1.654,1.763,1.618,1.635,279.666
1649462400000,1.634,1.813,1.63,1.786,313.821
1649548800000,1.785,1.793,1.641,1.649,152.631
1649635200000,1.648,1.655,1.453,1.481,275.202
1649721600000,1.482,1.602,1.477,1.54,200.907
1649808000000,1.541,1.594,1.508,1.571,107.217
1649894400000,1.572,1.597,1.473,1.508,120.663
1649980800000,1.507,1.52,1.464,1.51,97.218
1650067200000,1.51,1.522,1.454,1.489,77.382
1650153600000,1.488,1.503,1.399,1.406,76.176
1650240000000,1.405,1.435,1.333,1.433,116.559
1650326400000,1.433,1.51,1.414,1.5,98.991
1650412800000,1.501,1.565,1.461,1.499,167.319
1650499200000,1.499,1.54,1.393,1.422,123.885
1650585600000,1.421,1.474,1.403,1.424,104.535
1650672000000,1.423,1.433,1.375,1.387,85.068
1650758400000,1.388,1.413,1.348,1.381,88.587
1650844800000,1.381,1.381,1.263,1.361,178.182
1650931200000,1.362,1.404,1.24,1.259,157.455
1651017600000,1.259,1.311,1.239,1.29,115.146
1651104000000,1.288,1.31,1.252,1.28,137.772
1651190400000,1.281,1.284,1.159,1.193,139.086
1651276800000,1.193,1.212,0.997,1.043,167.976
1651363200000,1.043,1.11,1.011,1.082,173.286
1651449600000,1.082,1.101,1,1.054,139.23
1651536000000,1.055,1.109,1.025,1.048,125.919
1651622400000,1.048,1.172,1.042,1.162,163.998
1651708800000,1.163,1.188,1.017,1.051,200.781
1651795200000,1.051,1.059,1.006,1.031,204.156
1651881600000,1.032,1.037,0.975,0.983,130.185
1651968000000,0.983,0.984,0.922,0.941,190.53
1652054400000,0.94,0.964,0.746,0.749,336.042
1652140800000,0.748,0.888,0.725,0.798,468.594
1652227200000,0.799,0.835,0.545,0.605,619.947
1652313600000,0.604,0.652,0.446,0.563,426.672
1652400000000,0.563,0.749,0.557,0.655,369.729
1652486400000,0.655,0.76,0.627,0.725,352.251
1652572800000,0.726,0.757,0.681,0.756,203.13
1652659200000,0.756,0.756,0.661,0.684,134.352
1652745600000,0.686,0.736,0.676,0.723,114.984
1652832000000,0.722,0.734,0.624,0.627,120.546
1652918400000,0.628,0.696,0.607,0.681,195.849
1653004800000,0.681,0.695,0.628,0.646,152.577
1653091200000,0.647,0.68,0.636,0.67,85.995
1653177600000,0.67,0.714,0.662,0.698,127.233
1653264000000,0.699,0.728,0.648,0.659,110.763
1653350400000,0.659,0.676,0.623,0.667,119.502
1653436800000,0.667,0.677,0.639,0.664,137.52
1653523200000,0.665,0.694,0.583,0.61,159.777
1653609600000,0.61,0.62,0.56,0.574,128.385
1653696000000,0.575,0.592,0.563,0.582,61.569
1653782400000,0.581,0.597,0.563,0.595,62.082
1653868800000,0.596,0.661,0.588,0.653,93.645
1653955200000,0.654,0.699,0.653,0.681,100.647
1654041600000,0.682,0.692,0.606,0.618,83.601
1654128000000,0.618,0.635,0.605,0.633,99.234
1654214400000,0.632,0.633,0.583,0.594,94.248
1654300800000,0.594,0.608,0.583,0.604,80.919
1654387200000,0.605,0.624,0.591,0.614,47.808
1654473600000,0.613,0.652,0.611,0.635,70.794
1654560000000,0.635,0.636,0.589,0.608,107.307
1654646400000,0.609,0.621,0.595,0.602,79.884
1654732800000,0.603,0.629,0.589,0.603,84.582
1654819200000,0.604,0.613,0.554,0.563,112.275
1654905600000,0.564,0.581,0.507,0.521,110.403
1654992000000,0.522,0.525,0.469,0.471,129.78
1655078400000,0.472,0.477,0.391,0.433,231.237
1655164800000,0.432,0.483,0.391,0.435,188.991
1655251200000,0.435,0.467,0.386,0.467,179.01
1655337600000,0.466,0.474,0.403,0.409,115.686
1655424000000,0.409,0.439,0.404,0.422,75.933
1655510400000,0.421,0.429,0.361,0.395,91.566
1655596800000,0.395,0.432,0.378,0.424,100.008
1655683200000,0.425,0.449,0.406,0.442,62.073
1655769600000,0.443,0.483,0.43,0.451,69.21
1655856000000,0.451,0.468,0.429,0.446,75.762
1655942400000,0.448,0.522,0.444,0.505,94.95
1656028800000,0.505,0.538,0.496,0.525,65.808
1656115200000,0.527,0.605,0.514,0.568,113.724
1656201600000,0.567,0.586,0.529,0.532,94.725
1656288000000,0.531,0.596,0.529,0.554,136.629
1656374400000,0.555,0.577,0.506,0.514,79.686
1656460800000,0.513,0.524,0.493,0.505,107.613
1656547200000,0.505,0.508,0.446,0.49,75.195
1656633600000,0.491,0.504,0.455,0.459,83.151
1656720000000,0.462,0.472,0.443,0.459,63.009
1656806400000,0.459,0.467,0.443,0.462,59.238
1656892800000,0.462,0.504,0.45,0.501,64.593
1656979200000,0.501,0.553,0.5,0.521,80.928
1657065600000,0.52,0.529,0.503,0.522,55.467
1657152000000,0.523,0.551,0.519,0.537,50.184
1657238400000,0.538,0.547,0.508,0.516,53.019
1657324800000,0.517,0.548,0.516,0.539,33.264
1657411200000,0.538,0.539,0.503,0.508,31.212
1657497600000,0.508,0.512,0.453,0.462,61.272
1657584000000,0.461,0.474,0.444,0.445,46.593
1657670400000,0.446,0.468,0.426,0.466,63.639
1657756800000,0.466,0.487,0.443,0.483,52.425
1657843200000,0.483,0.498,0.478,0.485,47.691
1657929600000,0.484,0.5,0.469,0.498,34.209
1658016000000,0.498,0.507,0.483,0.483,44.064
1658102400000,0.483,0.559,0.483,0.555,114.876
1658188800000,0.554,0.617,0.531,0.607,110.889
1658275200000,0.606,0.663,0.568,0.577,122.085
1658361600000,0.578,0.608,0.554,0.598,95.355
1658448000000,0.598,0.619,0.566,0.575,62.559
1658534400000,0.574,0.598,0.555,0.577,53.973
1658620800000,0.578,0.589,0.566,0.567,48.618
1658707200000,0.567,0.57,0.511,0.512,60.129
1658793600000,0.511,0.537,0.501,0.537,47.295
