timestamp,open,high,low,close,volume
1632528000000,1.023,1.028,1.007,1.02,19.86
1632614400000,1.019,1.066,0.93,1.021,98.94
1632700800000,1.02,1.067,0.98,0.983,86.15
1632787200000,0.983,1.01,0.936,0.94,110.35
1632873600000,0.939,1.001,0.934,0.989,136.46
1632960000000,0.989,1.04,0.984,1.017,114.9
1633046400000,1.017,1.158,1.016,1.156,160.59
1633132800000,1.156,1.246,1.113,1.182,136.14
1633219200000,1.183,1.236,1.165,1.218,143.52
1633305600000,1.218,1.218,1.126,1.165,151.68
1633392000000,1.166,1.23,1.155,1.205,133.4
1633478400000,1.205,1.208,1.092,1.147,168.32
1633564800000,1.147,1.2,1.118,1.167,160.41
1633651200000,1.166,1.328,1.161,1.234,220.68
1633737600000,1.235,1.273,1.217,1.242,110.64
1633824000000,1.242,1.247,1.127,1.135,118.55
1633910400000,1.134,1.198,1.104,1.132,123.94
1633996800000,1.132,1.132,1.042,1.113,178.8
1634083200000,1.112,1.152,1.079,1.131,132.3
1634169600000,1.132,1.179,1.119,1.155,92.9664
1634256000000,1.156,1.522,1.124,1.492,541.4309
1634342400000,1.492,1.504,1.389,1.397,203.2254
1634428800000,1.398,1.439,1.3,1.35,162.8552
1634515200000,1.35,1.509,1.336,1.372,434.105
1634601600000,1.372,1.417,1.327,1.368,243.9775
1634688000000,1.368,1.44,1.342,1.426,338.8175
1634774400000,1.426,1.522,1.365,1.396,573.6875
1634860800000,1.395,1.468,1.381,1.407,317.665
1634947200000,1.407,1.565,1.388,1.531,391.535
1635033600000,1.531,1.534,1.415,1.462,315.1275
1635120000000,1.461,1.571,1.452,1.564,319.8575
1635206400000,1.565,1.787,1.546,1.664,670.79
1635292800000,1.665,1.867,1.536,1.687,954.8975
1635379200000,1.688,2.162,1.687,2.118,1072
1635465600000,2.119,2.204,1.902,2.009,773.475
1635552000000,2.01,2.015,1.812,1.858,528.575
1635638400000,1.858,2.016,1.779,1.924,677.4175
1635724800000,1.925,1.957,1.824,1.888,426.9975
1635811200000,1.887,1.956,1.849,1.924,383.635
1635897600000,1.925,2.178,1.924,2.022,678.1175
1635984000000,2.023,2.025,1.843,1.9,358.4525
1636070400000,1.9,1.934,1.852,1.88,237.14
1636156800000,1.879,1.912,1.796,1.869,213.88
1636243200000,1.87,1.9,1.836,1.87,159.42
1636329600000,1.871,1.927,1.849,1.878,232.4875
1636416000000,1.877,1.881,1.746,1.761,328.995
1636502400000,1.762,1.878,1.528,1.687,498.925
1636588800000,1.686,1.774,1.65,1.739,324.775
1636675200000,1.738,1.76,1.621,1.7,306.2425
1636761600000,1.702,1.754,1.682,1.734,173.835
1636848000000,1.735,1.759,1.671,1.712,168.4625
1636934400000,1.713,1.751,1.672,1.677,204.035
1637020800000,1.676,1.677,1.453,1.545,577.82
1637107200000,1.546,1.661,1.473,1.622,444.9325
1637193600000,1.623,1.664,1.43,1.482,461.39
1637280000000,1.482,1.612,1.465,1.607,390.0525
1637366400000,1.607,1.664,1.545,1.65,239.1275
1637452800000,1.651,1.653,1.58,1.583,210.8975
1637539200000,1.584,1.606,1.511,1.543,307.2275
1637625600000,1.543,1.747,1.527,1.735,368.145
1637712000000,1.735,1.814,1.635,1.67,437.3125
1637798400000,1.669,1.921,1.655,1.911,551.575
1637884800000,1.911,1.952,1.574,1.625,678.7925
1637971200000,1.624,1.71,1.572,1.597,276.43
1638057600000,1.598,1.65,1.484,1.638,349.4325
1638144000000,1.637,1.82,1.614,1.802,362.0725
1638230400000,1.801,1.864,1.681,1.77,456.4225
1638316800000,1.771,2.08,1.758,1.99,655.685
1638403200000,1.991,2.187,1.935,2.108,1084.025
1638489600000,2.107,2.384,2.049,2.256,1550.4399
1638576000000,2.255,2.301,1.61,1.962,1484.2225
1638662400000,1.963,2.187,1.868,2.038,1231.2125
1638748800000,2.037,2.311,1.698,2.263,1420.54
1638835200000,2.264,2.503,2.22,2.33,1435.395
1638921600000,2.331,2.563,2.21,2.405,1163.6226
1639008000000,2.407,2.425,2.044,2.071,1246.8275
1639094400000,2.07,2.275,2.027,2.075,1057.1375
1639180800000,2.075,2.152,1.994,2.124,714.4675
1639267200000,2.124,2.126,2.012,2.069,401.6575
1639353600000,2.069,2.079,1.736,1.802,715.4725
1639440000000,1.802,1.931,1.721,1.927,588.1525
1639526400000,1.926,2.23,1.813,2.114,993.6175
1639612800000,2.115,2.193,2.047,2.054,625.5514
1639699200000,2.054,2.146,1.922,2.112,650.8875
1639785600000,2.113,2.244,2.039,2.219,572.825
1639872000000,2.219,2.275,2.147,2.206,461.035
1639958400000,2.205,2.233,2.031,2.114,532.985
1640044800000,2.115,2.392,2.092,2.359,620.8375
1640131200000,2.358,2.637,2.355,2.484,980.87
1640217600000,2.484,2.718,2.452,2.669,951.8625
1640304000000,2.67,2.67,2.408,2.452,666.215
1640390400000,2.453,2.673,2.41,2.625,497.8675
1640476800000,2.624,2.874,2.597,2.864,730.11
1640563200000,2.865,2.908,2.697,2.709,490.2425
1640649600000,2.71,2.715,2.429,2.476,849.7875
1640736000000,2.477,2.605,2.388,2.46,656.585
1640822400000,2.46,2.581,2.399,2.538,541.5425
1640908800000,2.537,2.655,2.479,2.581,367.43
1640995200000,2.506,2.57,2.487,2.557,159.175
1641081600000,2.556,2.57,2.488,2.535,307.4725
1641168000000,2.536,2.536,2.346,2.416,388.705
1641254400000,2.418,2.492,2.337,2.349,446.5775
1641340800000,2.349,2.436,2.005,2.167,687.2725
1641427200000,2.168,2.275,2.051,2.234,767.64
1641513600000,2.234,2.249,2.027,2.037,758.4325
1641600000000,2.037,2.127,1.884,1.969,564.845
1641686400000,1.969,2.153,1.948,2.099,368.475
1641772800000,2.099,2.131,1.905,2.055,554.275
1641859200000,2.055,2.356,2.03,2.345,588.275
1641945600000,2.345,2.435,2.293,2.382,515.1625
1642032000000,2.382,2.424,2.225,2.249,504.32
1642118400000,2.248,2.336,2.168,2.32,415.545
1642204800000,2.32,2.384,2.279,2.331,294.0725
1642291200000,2.33,2.357,2.269,2.317,300.375
1642377600000,2.318,2.439,2.149,2.204,556.155
1642464000000,2.203,2.23,2.063,2.104,516.895
1642550400000,2.104,2.127,1.998,2.013,472.8325
1642636800000,2.014,2.177,1.936,1.944,462.315
1642723200000,1.942,2.01,1.624,1.683,1162.01
1642809600000,1.684,1.741,1.381,1.521,1167.67
1642896000000,1.522,1.654,1.494,1.601,664.0745
1642982400000,1.6,1.601,1.292,1.491,1056.243
1643068800000,1.492,1.595,1.394,1.542,797.028
1643155200000,1.543,1.812,1.509,1.575,1060.929
1643241600000,1.574,1.653,1.48,1.574,913.542
1643328000000,1.574,1.687,1.547,1.658,736.518
