timestamp,open,high,low,close,volume
1564876800000,0.02,0.02,0.019,0.02,1193.88
1564963200000,0.019,0.021,0.019,0.019,13494.2305
1565049600000,0.02,0.02,0.018,0.019,13533.2402
1565136000000,0.018,0.02,0.018,0.018,13362.8203
1565222400000,0.019,0.02,0.018,0.02,11128.1396
1565308800000,0.018,0.02,0.016,0.017,10407.7598
1565481600000,0.017,0.018,0.017,0.018,1202.37
1565568000000,0.017,0.019,0.017,0.017,13704.7695
1565654400000,0.018,0.018,0.017,0.017,11156.0098
1565740800000,0.018,0.018,0.014,0.014,10061.7402
1565827200000,0.015,0.016,0.012,0.014,13874.9297
1565913600000,0.015,0.015,0.013,0.013,11804.8496
1566086400000,0.014,0.015,0.014,0.014,1096.78
1566172800000,0.015,0.016,0.014,0.014,11351.21
1566259200000,0.015,0.016,0.014,0.014,9518.6699
1566345600000,0.015,0.015,0.013,0.014,9234.4902
1566432000000,0.013,0.016,0.013,0.014,9659.2402
1566518400000,0.015,0.016,0.014,0.014,7943.6602
1566691200000,0.014,0.015,0.014,0.014,973.58
1566777600000,0.015,0.016,0.014,0.015,9514.8496
1566864000000,0.014,0.015,0.014,0.015,10184.2803
1566950400000,0.014,0.015,0.012,0.013,7028.0898
1567036800000,0.014,0.014,0.012,0.013,9040.1104
1567123200000,0.012,0.013,0.012,0.013,8026.1299
1567382400000,0.012,0.014,0.012,0.013,6735.9302
1567468800000,0.012,0.014,0.012,0.012,14392.0996
1567555200000,0.013,0.013,0.012,0.012,15550
1567641600000,0.013,0.013,0.011,0.012,12813.3896
1567728000000,0.011,0.013,0.01,0.012,11484.96
1567900800000,0.013,0.013,0.012,0.012,913.08
1567987200000,0.013,0.014,0.012,0.012,13199.5098
1568073600000,0.013,0.014,0.012,0.012,13747.3496
1568160000000,0.013,0.013,0.011,0.012,12925.8301
1568246400000,0.011,0.012,0.011,0.012,14890.7803
1568332800000,0.011,0.013,0.011,0.013,12482.6699
1568505600000,0.013,0.013,0.012,0.013,1018.35
1568592000000,0.012,0.013,0.012,0.013,10341.2002
1568678400000,0.012,0.015,0.012,0.014,18458.4805
1568764800000,0.013,0.016,0.013,0.015,20298.1602
1568851200000,0.014,0.016,0.013,0.014,18774.5098
1568937600000,0.015,0.015,0.013,0.014,12964.5996
1569110400000,0.013,0.015,0.013,0.013,1372.09
1569196800000,0.014,0.015,0.012,0.012,16179.25
1569283200000,0.013,0.014,0.008,0.009,16963.5898
1569369600000,0.01,0.011,0.009,0.011,16393.3203
1569456000000,0.01,0.011,0.009,0.01,18510.25
1569542400000,0.009,0.011,0.009,0.01,19133.4395
1569715200000,0.011,0.011,0.01,0.011,1294.5
1569801600000,0.01,0.013,0.009,0.012,17299.2305
1569888000000,0.011,0.012,0.01,0.012,16861.1797
1569974400000,0.011,0.012,0.01,0.011,16128.9902
1570060800000,0.012,0.012,0.01,0.011,20690.0508
1570147200000,0.012,0.012,0.011,0.011,16168.3896
1570320000000,0.011,0.012,0.011,0.012,1196.8
1570406400000,0.011,0.014,0.011,0.014,17113.1699
1570492800000,0.013,0.015,0.012,0.014,19435.2402
1570579200000,0.014,0.015,0.013,0.014,16511.1309
1570665600000,0.013,0.015,0.013,0.014,17063.7598
1570752000000,0.013,0.014,0.012,0.013,14023.46
1570924800000,0.014,0.014,0.012,0.014,1332.8
1571011200000,0.013,0.014,0.012,0.013,15734.54
